feature,importance
cat__issue_d_2009-07-01,0.00021219759638864202
cat__issue_d_2009-02-01,0.0002103961027217518
cat__issue_d_2008-01-01,0.00020740835439164119
cat__addr_state_WY,0.0001908213493775927
cat__issue_d_2009-05-01,0.00018505370902230527
cat__issue_d_2008-11-01,0.00018064228259842213
cat__issue_d_2009-08-01,0.0001776948219170568
cat__addr_state_SD,0.0001766873183493679
cat__addr_state_VT,0.00015673572508058582
cat__issue_d_2008-12-01,0.00014472838470108994
cat__sub_grade_G2,0.0001317060766775415
cat__issue_d_2008-04-01,0.00011887486394434675
cat__home_ownership_OTHER,0.00011323451662601082
cat__addr_state_NE,0.00011037743534916669
cat__issue_d_2007-12-01,0.000106987474277642
cat__issue_d_2008-10-01,0.00010352410614314913
cat__issue_d_2008-02-01,9.033318490281196e-05
cat__issue_d_2008-08-01,8.561737444793665e-05
cat__issue_d_2007-11-01,8.528341116176887e-05
cat__sub_grade_G3,5.464480199861923e-05
cat__sub_grade_G4,5.119284722458461e-05
cat__issue_d_2007-08-01,4.833347677461217e-05
cat__issue_d_2007-10-01,4.38891659865627e-05
cat__issue_d_2008-05-01,3.1580577187614793e-05
cat__sub_grade_G5,3.085228063732203e-05
cat__issue_d_2008-09-01,2.729548956970427e-05
cat__issue_d_2007-09-01,2.5873186578752097e-05
cat__issue_d_2008-06-01,2.3904492741329974e-05
cat__issue_d_2007-07-01,1.4408272236851858e-05
cat__home_ownership_NONE,1.0940046335721544e-05
cat__addr_state_ME,2.5796039523781873e-06
cat__issue_d_2007-06-01,1.4563649246170082e-06
cat__addr_state_ND,1.375540075607453e-06
cat__addr_state_ID,1.136349709454445e-06
cat__addr_state_IA,0.0
